,ID,TIPO,INSTITUCIO,CALLE,NUMERO,REFERENCIA,COLONIA,C_P_,Observacio,Alcaldía,geometry
607,608.0,TIENDAS DE AUTO SERVICIO,"GIGANTE, S.A. DE C.V.",Ignacio Zaragoza,S/N,Esq. Amador Salazar,jidal Sta. Martha Catitla,09140,Actualmente Soriana en Plaza el Salado,Iztapalapa,POINT (-99.00489247627657 19.365845305722356)
608,609.0,TIENDAS DEPARTAMENTALES,SALINAS Y ROCHA,Calz. Ermita Iztapalapa,3901,Esq. 5 de Febrero,Pueblo Sta. Martha Acatitla,09510,,Iztapalapa,POINT (-99.00981705811185 19.354271147134835)
609,610.0,TIENDA DE AUTOSERVICIO_1,Soriana Ermita,Calz. Ermita Iztapalapa,4142,,Santa Martha Acatitla,09510,,Iztapalapa,POINT (-99.0038532178855 19.358400519517065)
610,611.0,TIENDA DE AUTOSERVICIO_1,La Comer Iztapalapa,Calz. Ermita Iztapalapa,3799,,Santiago Acahualtepec 1A ampliación,09608,,Iztapalapa,POINT (-99.01324996938361 19.352658580996717)
611,612.0,TIENDA DE AUTOSERVICIO_1,La Comer Iztapalapa,Calz. Ermita Iztapalapa,3799,,Santiago Acahualtepec 1A ampliación,09608,,Iztapalapa,POINT (-99.0126029506384 19.352099462337154)
612,613.0,TIENDA DE AUTOSERVICIO_1,Bodega Aurrera,Av. Tlahuac,250,,Santa Isabel Industrial,09820,,Iztapalapa,POINT (-99.10688325888883 19.34763143118118)
613,614.0,TIENDAS DE AUTO SERVICIO,"COMERCIAL MEXICANA, S.A. DE C.V.",Calz. Ermita Iztapalapa,2955,Entre Mariano Matamoros y Sn. Felipe de Jesus,Sn. Miguel,09360,Actualmente CENTRO Y PLAZA COMERCIAL Iztapalapa,Iztapalapa,POINT (-99.07176968049326 19.350162150074105)
614,615.0,TIENDAS DE AUTO SERVICIO,"GIGANTE, S.A. DE C.V.",Calz. Ermita Iztapalapa,1863,Entre Av. Sn. Lorenzo y Mina,Los Ángeles,09830,Actualmente es Soriana,Iztapalapa,POINT (-99.07402268855715 19.350282144628586)
615,616.0,TIENDAS DEPARTAMENTALES,"SUBURBIA, S.A. DE C.V.",Calz. Ermita Iztapalapa,2039,Esq. Margarita,Angeles,09830,También hay una Bodega Aurrera,Iztapalapa,POINT (-99.06815366061953 19.34740215663295)
616,617.0,TIENDA DE AUTOSERVICIO_1,Soriana Tláhuac,Av. Tlahuac,390,,Culhuacan,09800,,Iztapalapa,POINT (-99.10722894653098 19.343383831255863)
617,618.0,TIENDA DE AUTOSERVICIO_1,Soriana,San Lorenzo,2171,,San Juan Xalpa,09850,,Iztapalapa,POINT (-99.07580783427464 19.33457973841718)
618,619.0,CENTRO Y PLAZA COMERCIAL,Mercado de Culhuacán no. 186,Iturbide,s/n,,Culhuacán,09800,,Iztapalapa,POINT (-99.10857405650044 19.33775828585755)
619,620.0,CENTRO Y PLAZA COMERCIAL,Mercado Puente Blanco,Río Churubusco,l-47,,Puente Blanco,09770,,Iztapalapa,POINT (-99.06427356932397 19.329042997731037)
620,621.0,CENTRO Y PLAZA COMERCIAL,Mercado Presidentes de México,Lázaro Cardenas,m 70 l 1C,,Presidentes de México,09740,,Iztapalapa,POINT (-99.0592673768847 19.330631075221373)
621,622.0,TIENDAS DE AUTO SERVICIO,"COMERCIAL MEXICANA, S.A. DE C.V.",Av. Tláhuac,4486,Entre Sn. Francisco de Asis y Av.11,Sn. Nicolás Tolentino,09880,Actualmente es una tienda de azulejos,Iztapalapa,POINT (-99.08798566886459 19.321344097709673)
622,623.0,CENTRO Y PLAZA COMERCIAL,La Estrella,Av. Tlahuac,4746 lt 14,,Granjas Estrella,09889,,Iztapalapa,POINT (-99.08454954440283 19.320756188493398)
623,624.0,TIENDA DE AUTOSERVICIO_1,Soriana Tulyehualco,Juarez,mz 39 lt 13,,Granjas Estrella,09889,,Iztapalapa,POINT (-99.08648176036641 19.32179601443752)
624,625.0,CENTRO Y PLAZA COMERCIAL,Portal Lomas Estrella,Av. Tlahuac,4409,,Lomas Estrella,09890,,Iztapalapa,POINT (-99.0943269049443 19.32101157753581)
